Date,BHARTIARTL-EQ O,BHARTIARTL-EQ H,BHARTIARTL-EQ L,BHARTIARTL-EQ C,BHARTIARTL-EQ V
16/01/2018,508,513.65,491.4,497.25,5786478
15/01/2018,509.8,511.95,502.45,504.5,2554677
12/01/2018,516,517.35,504.5,509.55,4369137
11/01/2018,508,516.7,503.2,514.75,5322546
10/01/2018,515,517.5,504.3,506.4,6008949
09/01/2018,518,521.05,504.7,509.8,6796613
08/01/2018,534.15,534.15,514.2,516.35,11074508
05/01/2018,525,542.5,518.55,540,7218024
04/01/2018,519,527.2,514.5,523,5366018
03/01/2018,519.15,525.5,514.75,518.2,5707905
02/01/2018,532.9,532.9,511.85,516.55,4724570
01/01/2018,531,538.1,525.4,527.9,4333190
29/12/2017,531.8,538.45,522,529.65,6761280
28/12/2017,534.5,537.55,530.1,531.35,7840192
27/12/2017,544.5,547.5,530.6,534.65,6038567
26/12/2017,531,546.4,525.25,542.95,5801051
22/12/2017,526.9,538.95,523.45,528.55,8548170
21/12/2017,528.5,531.75,522,524.1,5093541
20/12/2017,540,540.85,526.45,528.9,6754525
19/12/2017,526.75,540.2,520.2,536.6,6192288
18/12/2017,505.1,531.8,495.1,526.25,9429700
15/12/2017,527.8,529.85,514.75,517.95,6296789
14/12/2017,517.9,525,511,520.3,3019435
13/12/2017,528,533,514.2,517.35,7138671
12/12/2017,533.1,533.9,520.55,523.85,3267323
11/12/2017,530.8,538,524.35,532.7,11156171
08/12/2017,515.15,530.85,515.1,525.15,12795236
07/12/2017,485,518.5,484.2,514.7,6263169
06/12/2017,486.5,493,479,483.45,7508821
05/12/2017,485.65,491.95,476.85,490.65,3843203
04/12/2017,485,492,482.5,484.3,2740000
01/12/2017,498.9,498.9,481.85,484.15,5522454
30/11/2017,492.35,499.4,490.8,496.45,13410289
29/11/2017,492,497.25,490,495.75,5315769
28/11/2017,497.95,497.95,490.2,492,3016416
27/11/2017,495.9,499.8,491,498,3154345
24/11/2017,497,501.25,495,496.8,3514919
23/11/2017,503,507,493.5,496.35,5334161
22/11/2017,504.5,507.5,495.45,499.1,3263924
21/11/2017,495.3,509.25,494.5,503.25,9091201
20/11/2017,494.15,496.7,489,492.65,5231236
17/11/2017,495,505.95,491.05,493.5,10556190
16/11/2017,489,494.9,481.15,489.9,9627427
15/11/2017,498,499,483.5,486.75,8734007
14/11/2017,499.75,504.9,494.8,498.15,5812236
13/11/2017,503,506.75,496.65,498,6380726
10/11/2017,507,511.75,496.6,503.45,9452105
09/11/2017,502.25,508,495.3,504.25,9896380
08/11/2017,496,509,483.1,495.3,45366234
07/11/2017,535.9,536.6,512.1,514.35,6358001
06/11/2017,539.9,544.6,527.15,532.55,7476786
03/11/2017,543.2,564.8,537.3,541.25,16340958
02/11/2017,544.95,548.55,530.6,543.2,9870544
01/11/2017,518.5,544.7,510,539.1,32182374
31/10/2017,490,503.4,486.7,497.2,11437618
30/10/2017,490.5,497.7,486.05,492.9,6499242
27/10/2017,511.6,511.7,483,485.3,8025079
26/10/2017,511.6,519.35,502.45,511.3,9942611
25/10/2017,502.9,518,493.9,515.75,9085464
24/10/2017,493.65,504.7,493.65,502.05,15904316
23/10/2017,475,501.4,475,497.35,26645509
19/10/2017,465,477.8,463.5,473.75,2384933
18/10/2017,468,469,457.5,461.95,8125615
17/10/2017,456,469.35,455.1,465.95,16983113
16/10/2017,432.2,457.8,432.2,453.3,19057174
13/10/2017,430,437,420.8,430.9,41421808
12/10/2017,403.2,404.8,395.7,400.25,3626106
11/10/2017,386.2,406.4,386,403.55,7006526
10/10/2017,379.45,387.55,375,384.6,1353878
09/10/2017,380.4,381.6,377.55,378.95,1074428
06/10/2017,378.2,383.55,378.2,382.3,960608
05/10/2017,376.75,380.65,373.15,377.7,3038456
04/10/2017,386,386.55,376.1,377.15,2828962
03/10/2017,392,392.9,383,384.65,1660624
29/09/2017,381.95,391.85,379.15,389.45,4810172
28/09/2017,387.5,388.9,377.5,382.05,14570752
27/09/2017,387.95,390,384.3,385.95,2446169
26/09/2017,387.25,392.4,383.05,387.35,3788116
25/09/2017,396.9,396.9,387.4,389.75,2705831
22/09/2017,398,400.95,391.25,395.35,4752999
21/09/2017,392,402.4,389.75,400.1,5909612
20/09/2017,371,398.9,371,396.85,10616328
19/09/2017,399,399,390.6,394.8,994791
18/09/2017,399,401.25,395.2,396.65,1180053
15/09/2017,400,402.95,393.35,396,4812148
14/09/2017,406.5,406.5,397,398.9,1502692
13/09/2017,407.4,407.7,399.8,401.65,1692304
12/09/2017,407,407,398,405.2,2328047
11/09/2017,407,407.4,398.5,402.95,1452972
08/09/2017,397.9,404.85,396.6,403.5,1814900
07/09/2017,402.6,407.45,395.05,397.3,2381502
06/09/2017,401.55,405.55,401.55,402.5,1860455
05/09/2017,414.1,414.9,397.9,406.5,6492726
04/09/2017,423,424.95,413.7,416.4,1270036
01/09/2017,430,430.45,421.2,422.55,1799076
31/08/2017,431.8,431.8,424.15,427.7,7131194
30/08/2017,431.5,431.7,427.5,429,2153282
29/08/2017,435.5,435.5,427.35,428.1,1894924
28/08/2017,434,438.15,430.2,434.4,2529369
24/08/2017,433,434.35,428,432.95,2499222
23/08/2017,424.25,434,424.2,431.9,4285266
22/08/2017,422.7,425,416.55,422.1,3115334
21/08/2017,423.45,425.8,417.5,419.15,1870782
18/08/2017,413.95,422.4,412.75,421,2759975
17/08/2017,411,420,405.95,416.35,2958725
16/08/2017,407,411.1,403.75,407.75,3768547
14/08/2017,413,414.45,405.15,408.55,2013666
11/08/2017,412,418,410,414.55,2287991
10/08/2017,415.1,420.5,412.3,416.25,1497110
09/08/2017,418.95,418.95,412,416.05,1226554
08/08/2017,417.5,425,414.1,417.8,1797460
07/08/2017,420.85,422.6,416.45,417.45,1170962
04/08/2017,423.35,423.35,411.6,420.9,2707432
03/08/2017,415.95,425.1,413.25,424.2,2535067
02/08/2017,420.85,422.65,412.75,415.85,1978308
01/08/2017,420.15,423,413.75,417.05,2206614
31/07/2017,415,421.45,410,418.95,2662076
28/07/2017,413.05,415.5,408.2,413.3,1748552
27/07/2017,426,426.75,411.45,416.05,13918157
26/07/2017,430,430.05,421.75,426.25,5195656
25/07/2017,422.65,431.6,418.65,427.8,6430068
24/07/2017,407,422.5,406.05,420.05,4889853
21/07/2017,417,417,402.6,411.3,10944639
20/07/2017,422,424.5,416.1,419.8,3069917
19/07/2017,410,422.8,407.25,421.25,4600139
18/07/2017,406.2,430,406.2,408.3,3640766
17/07/2017,409.5,410,405.95,408.45,2269037
14/07/2017,405.05,408.6,402.2,407,2184660
13/07/2017,402.25,404.9,398.7,403.15,2594966
12/07/2017,397.8,402.3,394.45,397.1,2608465
11/07/2017,404.15,408.9,393.45,395.45,5565524
10/07/2017,388.1,410.15,388,405.7,1899149
07/07/2017,384,387.55,383,385.9,4371065
06/07/2017,376.55,382.85,373.95,381.3,2162556
05/07/2017,377,378.5,373.35,376.3,2107618
04/07/2017,383.9,383.9,378.1,379.3,1655289
03/07/2017,381.45,384.15,376.8,382.05,1521063
30/06/2017,382.45,383.9,372.6,379.7,3269881
29/06/2017,377.75,386.35,377.7,382.45,4234116
28/06/2017,374.9,381.65,367.5,377.2,3794226
27/06/2017,365,375.9,365,371.45,3809540
23/06/2017,365.9,368.55,363.25,366.2,5120076
22/06/2017,367.75,368.95,362.5,366.2,6320827
21/06/2017,366.4,368.2,364.5,367.3,2654891
20/06/2017,368.75,370.85,365.75,366.6,2301754
